new_name,new_name_clean,new_position,new_school,best_match_name,best_match_key,fuzzy_score,action,source
Omar Cooper Jr.,omar cooper jr,WR,Indiana,omar cooper,54920d47d8b8,88,match,KTC_Superflex
De'Zhaun Stribling,de'zhaun stribling,WR,Mississippi,de'zhaun-ryan stribling,72fa19289f86,88,match,KTC_Superflex
Eli Raridon,eli raridon,TE,Notre Dame,elijah raridon,e57405a7ab7e,88,match,KTC_Superflex
Omar Cooper Jr.,omar cooper jr,WR,Indiana,omar cooper,54920d47d8b8,88,match,KTC_1QB
De'Zhaun Stribling,de'zhaun stribling,WR,Mississippi,de'zhaun-ryan stribling,72fa19289f86,88,match,KTC_1QB
Eli Raridon,eli raridon,TE,Notre Dame,elijah raridon,e57405a7ab7e,88,match,KTC_1QB
Omar Cooper Jr.,omar cooper jr,WR,,omar cooper,54920d47d8b8,88,match,FantasyPros_PPR
Nick Singleton,nick singleton,RB,,nicholas singleton,4c14f220ce82,81,match,FantasyPros_PPR
De'Zhaun Stribling,de'zhaun stribling,WR,,de'zhaun-ryan stribling,72fa19289f86,88,match,FantasyPros_PPR
Eli Raridon,eli raridon,TE,,elijah raridon,e57405a7ab7e,88,match,FantasyPros_PPR
Cyrus Allen,cyrus allen,WR,,marcus allen,3df670e6c8ad,78,new,FantasyPros_PPR
Matt Hibner,matt hibner,TE,,matthew hibner,631a87c3aebd,88,match,FantasyPros_PPR
Dean Connors,dean connors,RB,,connor lew,84178b752594,73,new,FantasyPros_PPR
Harrison Wallace III,harrison wallace iii,WR,,harrison wallace,ab2c442e6e1d,89,match,FantasyPros_PPR
Anthony Smith,anthony smith,WR,,anthony hill,58ec19dd1365,72,new,FantasyPros_PPR
Rueben Owens,rueben owens,RB,,rueben bain,f35fadfc88cc,70,new,FantasyPros_PPR
Jack Velling,jack velling,TE,,jack kelly,8e62273f2db7,73,new,FantasyPros_PPR
Chris Hilton Jr.,chris hilton jr,WR,,chris hilton,404620d15833,89,match,FantasyPros_PPR
Al-Jay Henderson,al-jay henderson,RB,,emmanuel henderson,bca5a7e0672a,71,new,FantasyPros_PPR
Malachi Coleman,malachi coleman,WR,,jonah coleman,a0974fcaf7a5,71,new,FantasyPros_PPR
Lance Mason,lance mason,TE,,mansoor delane,2ac376fea062,72,new,FantasyPros_PPR
Omar Cooper Jr.,omar cooper jr,WR,,omar cooper,54920d47d8b8,88,match,FantasyPros_Superflex
Nick Singleton,nick singleton,RB,,nicholas singleton,4c14f220ce82,81,match,FantasyPros_Superflex
De'Zhaun Stribling,de'zhaun stribling,WR,,de'zhaun-ryan stribling,72fa19289f86,88,match,FantasyPros_Superflex
Eli Raridon,eli raridon,TE,,elijah raridon,e57405a7ab7e,88,match,FantasyPros_Superflex
Cyrus Allen,cyrus allen,WR,,marcus allen,3df670e6c8ad,78,new,FantasyPros_Superflex
Dean Connors,dean connors,RB,,connor lew,84178b752594,73,new,FantasyPros_Superflex
Matt Hibner,matt hibner,TE,,matthew hibner,631a87c3aebd,88,match,FantasyPros_Superflex
Harrison Wallace III,harrison wallace iii,WR,,harrison wallace,ab2c442e6e1d,89,match,FantasyPros_Superflex
Rueben Owens,rueben owens,RB,,rueben bain,f35fadfc88cc,70,new,FantasyPros_Superflex
Anthony Smith,anthony smith,WR,,anthony hill,58ec19dd1365,72,new,FantasyPros_Superflex
Jack Velling,jack velling,TE,,jack kelly,8e62273f2db7,73,new,FantasyPros_Superflex
Al-Jay Henderson,al-jay henderson,RB,,emmanuel henderson,bca5a7e0672a,71,new,FantasyPros_Superflex
Malachi Coleman,malachi coleman,WR,,jonah coleman,a0974fcaf7a5,71,new,FantasyPros_Superflex
Chris Hilton Jr.,chris hilton jr,WR,,chris hilton,404620d15833,89,match,FantasyPros_Superflex
Lance Mason,lance mason,TE,,mansoor delane,2ac376fea062,72,new,FantasyPros_Superflex
CJ Williams,cj williams,WR,,damonic williams,0f15eda31283,74,new,FantasyPros_Superflex
Riley Williams,riley williams,TE,,wesley williams,7b71fcccbc4a,83,new,FantasyPros_Superflex
Omar Cooper Jr.,omar cooper jr,WR,Indiana,omar cooper,54920d47d8b8,88,match,KTC
De'Zhaun Stribling,de'zhaun stribling,WR,Mississippi,de'zhaun-ryan stribling,72fa19289f86,88,match,KTC
Eli Raridon,eli raridon,TE,Notre Dame,elijah raridon,e57405a7ab7e,88,match,KTC
Darius Taylor,darius taylor,RB,Minnesota,j'mari taylor,113c261aebc0,77,new,WalterFootball_RB
Harrison Wallace III,harrison wallace iii,WR,Ole Miss,harrison wallace,ab2c442e6e1d,89,match,WalterFootball_WR
Jayce Brown,jayce brown,WR,Kansas State,mel brown,a111e2e633cf,70,new,WalterFootball_WR
Rara Thomas,rara thomas,WR,Troy,noah thomas,f601a674ac25,73,new,WalterFootball_WR
Matt Hibner,matt hibner,TE,SMU,matthew hibner,631a87c3aebd,88,match,WalterFootball_TE
Eli Raridon,eli raridon,TE,Notre Dame,elijah raridon,e57405a7ab7e,88,match,WalterFootball_TE
Rueben Bain Jr.,rueben bain jr,DE,Miami,rueben bain,f35fadfc88cc,88,match,WalterFootball_DE
Cian Slone,cian slone,DE,N.C. State,ian strong,7944eff29715,70,new,WalterFootball_DE
Ethan Burke,ethan burke,DE,Texas,travis burke,7bda56f3a9ed,70,new,WalterFootball_DE
L.T. Overton,lt overton,DT,Alabama,labbeus overton,190456f5a438,72,match,WalterFootball_DT
Byron Eason,byron eason,DT,Tennessee,bryson eason,e0199fb01ed6,87,match,WalterFootball_DT
Rueben Bain Jr.,rueben bain jr,OLB,Miami,rueben bain,f35fadfc88cc,88,match,WalterFootball_OLB34
Ethan Burke,ethan burke,OLB,Texas,travis burke,7bda56f3a9ed,70,match,WalterFootball_OLB34
L.T. Overton,lt overton,DE,Alabama,labbeus overton,190456f5a438,72,match,WalterFootball_DE34
Ethan Burke,ethan burke,DE,Texas,travis burke,7bda56f3a9ed,70,match,WalterFootball_DE34
Jimmy Rolder,jimmy rolder,ILB,Michigan,james rolder,69d5f1992540,75,match,WalterFootball_ILB
Jalen McMurray,jalen mcmurray,CB,Tennessee,caden curry,b8b09893173f,72,new,WalterFootball_CB
A.J. Haulcy,aj haulcy,S,LSU,adari haulcy,7923aaaa6184,76,match,WalterFootball_S
JaCorey Thomas,jacorey thomas,S,Georgia,jakobe thomas,c7d86e256e43,81,new,WalterFootball_S
Jalen Stroman,jalen stroman,S,Notre Dame,ian strong,7944eff29715,70,new,WalterFootball_S
De'Zhan Stribling,de'zhan stribling,WR,,de'zhaun-ryan stribling,72fa19289f86,85,match,DraftSharks
Eli Raridon,eli raridon,TE,,elijah raridon,e57405a7ab7e,88,match,DraftSharks
Jamarion Miller,jamarion miller,RB,,jam miller,5edc01533946,80,match,DraftSharks
Cyrus Allen,cyrus allen,WR,,marcus allen,3df670e6c8ad,78,new,DraftSharks
CJ Williams,cj williams,WR,,damonic williams,0f15eda31283,74,new,DraftSharks
Anthony Smith,anthony smith,WR,,anthony hill,58ec19dd1365,72,match,DraftSharks
